Timestamp,Num Rounds,Num Courts,Num Men,Num Women,Num Games,Repeat Opponents Min,Repeat Opponents Max,Repeat Opponents Avg,Repeat Opponents Rng,Repeat Teammates Min,Repeat Teammates Max,Repeat Teammates Avg,Repeat Teammates Rng,Games Played Min,Games Played Max,Games Played Avg,Games Played Rng Men,Games played Rng Women,Repeat Exponential,Opponent History Weight,Teammate History Weight,Games Played Weight,Recent Rounds Weight
2026-02-28 09:27:51.717224,16,1,6,6,16,1,6,3.1666666666666665,5,0,1,0.3333333333333333,1,5,6,5.333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.735750,16,1,7,7,16,0,2,1.0,2,0,0,0.0,0,4,5,4.571428571428571,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.765523,16,1,8,8,16,0,0,0.0,0,0,0,0.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.815859,16,1,9,9,16,0,1,0.2222222222222222,1,0,0,0.0,0,3,4,3.5555555555555554,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.889591,16,1,10,10,16,0,3,0.6,3,0,1,0.2,1,3,4,3.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.890677,17,1,2,2,17,31,31,31.0,0,15,15,15.0,0,17,17,17.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.892191,17,1,3,3,17,17,19,17.666666666666668,2,8,9,8.333333333333334,1,11,12,11.333333333333334,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.894980,17,1,4,4,17,9,11,10.0,2,4,5,4.5,1,8,9,8.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.901278,17,1,5,5,17,3,6,4.8,3,1,2,1.8,1,6,7,6.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.912554,17,1,6,6,17,1,6,3.3333333333333335,5,0,1,0.3333333333333333,1,5,6,5.666666666666667,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.931049,17,1,7,7,17,0,3,1.2857142857142858,3,0,0,0.0,0,4,5,4.857142857142857,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.964281,17,1,8,8,17,0,0,0.0,0,0,0,0.0,0,4,5,4.25,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.017985,17,1,9,9,17,0,1,0.2222222222222222,1,0,0,0.0,0,3,4,3.7777777777777777,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.097930,17,1,10,10,17,0,3,0.6,3,0,1,0.2,1,3,4,3.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.099142,18,1,2,2,18,33,33,33.0,0,16,16,16.0,0,18,18,18.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.100797,18,1,3,3,18,19,19,19.0,0,9,9,9.0,0,12,12,12.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.104030,18,1,4,4,18,11,11,11.0,0,5,5,5.0,0,9,9,9.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.109970,18,1,5,5,18,5,8,5.6,3,2,3,2.2,1,7,8,7.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.121780,18,1,6,6,18,3,6,4.0,3,0,1,0.6666666666666666,1,6,6,6.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.142573,18,1,7,7,18,0,3,1.5714285714285714,3,0,0,0.0,0,5,6,5.142857142857143,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.179737,18,1,8,8,18,0,0,0.0,0,0,0,0.0,0,4,5,4.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.233699,18,1,9,9,18,0,2,0.4444444444444444,2,0,0,0.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.314641,18,1,10,10,18,0,3,0.6,3,0,1,0.2,1,3,4,3.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.318297,19,1,2,2,19,35,35,35.0,0,17,17,17.0,0,19,19,19.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.320607,19,1,3,3,19,19,21,20.333333333333332,2,9,10,9.666666666666666,1,12,13,12.666666666666666,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.323748,19,1,4,4,19,11,13,12.0,2,5,6,5.5,1,9,10,9.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.332264,19,1,5,5,19,5,8,6.4,3,2,3,2.6,1,7,8,7.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.344613,19,1,6,6,19,3,6,4.333333333333333,3,0,1,0.8333333333333334,1,6,7,6.333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.366656,19,1,7,7,19,0,3,1.8571428571428572,3,0,0,0.0,0,5,6,5.428571428571429,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.401571,19,1,8,8,19,0,0,0.0,0,0,0,0.0,0,4,5,4.75,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.461945,19,1,9,9,19,0,2,0.4444444444444444,2,0,0,0.0,0,4,5,4.222222222222222,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.550872,19,1,10,10,19,0,3,0.6,3,0,1,0.2,1,3,4,3.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.552738,20,1,2,2,20,37,37,37.0,0,18,18,18.0,0,20,20,20.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.554232,20,1,3,3,20,21,23,21.666666666666668,2,10,11,10.333333333333334,1,13,14,13.333333333333334,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.558639,20,1,4,4,20,13,13,13.0,0,6,6,6.0,0,10,10,10.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.568485,20,1,5,5,20,7,8,7.2,1,3,3,3.0,0,8,8,8.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.581039,20,1,6,6,20,3,6,4.666666666666667,3,1,1,1.0,0,6,7,6.666666666666667,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.604902,20,1,7,7,20,0,4,2.142857142857143,4,0,0,0.0,0,5,6,5.714285714285714,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.643889,20,1,8,8,20,0,0,0.0,0,0,0,0.0,0,5,5,5.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.704672,20,1,9,9,20,0,2,0.4444444444444444,2,0,0,0.0,0,4,5,4.444444444444445,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.804085,20,1,10,10,20,0,5,1.0,5,0,2,0.4,2,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.805214,21,1,2,2,21,39,39,39.0,0,19,19,19.0,0,21,21,21.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.808006,21,1,3,3,21,23,23,23.0,0,11,11,11.0,0,14,14,14.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:52.812605,21,1,4,4,21,13,15,14.0,2,6,7,6.5,1,10,11,10.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.819962,21,1,5,5,21,7,9,8.0,2,3,4,3.4,1,8,9,8.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:52.835192,21,1,6,6,21,4,7,5.0,3,1,1,1.0,0,7,7,7.0,0,0,2,1,5,100,0.0001
